product_name,total_price,unit_price,img,link,supermarket
J.James Free Range Eggs Mixed Weight x10,110.0,11p / ea,https://assets.sainsburys-groceries.co.uk/gol/8008268/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/j-james-fr-mixed-weight-eggs-x10,Sainsburys
"Sainsbury's Woodland Free Range Golden Yolked Mixed Weight Eggs, Taste the Diffe...",190.0,32p / ea,https://assets.sainsburys-groceries.co.uk/gol/6407203/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-golden-yolked-free-range-eggs--taste-the-difference-x6,Sainsburys
Two Chicks Liquid Egg White 500g,250.0,50p / 100g,https://assets.sainsburys-groceries.co.uk/gol/6755369/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/two-chicks-liquid-egg-white-500g,Sainsburys
Sainsbury's Woodland Free Range Large Eggs x12,205.0,17p / ea,https://assets.sainsburys-groceries.co.uk/gol/6468897/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-large-eggs-x12,Sainsburys
Sainsbury's Woodland Free Range Large Eggs x6,110.0,18p / ea,https://assets.sainsburys-groceries.co.uk/gol/6334094/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-woodland-large-eggs-x6,Sainsburys
Sainsbury's Woodland Free Range Medium Eggs x12,170.0,14p / ea,https://assets.sainsburys-groceries.co.uk/gol/6468901/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-woodland-medium-eggs-x12,Sainsburys
Sainsbury's Woodland Free Range Medium Eggs x6,90.0,15p / ea,https://assets.sainsburys-groceries.co.uk/gol/6334096/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-woodland-medium-eggs-x6,Sainsburys
"Sainsbury's Woodland Free Range Large Eggs, SO Organic x6",215.0,36p / ea,https://assets.sainsburys-groceries.co.uk/gol/6379763/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-woodland-large-eggs--so-organic-x6,Sainsburys
Happy Egg Large Free Range Eggs x6,175.0,29p / ea,https://assets.sainsburys-groceries.co.uk/gol/6921094/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/happy-egg-large-free-range-eggs-x6,Sainsburys
"Sainsbury's Woodland Free Range Medium Eggs, SO Organic x6",180.0,30p / ea,https://assets.sainsburys-groceries.co.uk/gol/6379768/image.jpg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-free-range-woodland-medium-eggs--so-organic-x6,Sainsburys
